Invoice ID;Branch;City;Customer type;Gender;Product line;Unit price;Quantity;Tax 5%;Total;Date;Time;Payment;Rating
750-67-8428;A;Yangon;Member;Female;Health and beauty;7469;7;261415;5489715;01/01/2019;13:08:00;Ewallet;91
226-31-3081;C;Naypyitaw;Normal;Female;Electronic accessories;1528;5;382;8022;01/01/2019;10:29:00;Cash;96
631-41-3108;A;Yangon;Normal;Male;Home and lifestyle;4633;7;162155;3405255;01/01/2019;13:23:00;Credit card;74
123-19-1176;A;Yangon;Member;Male;Health and beauty;5822;8;23288;489048;01/01/2019;20:33:00;Ewallet;84
373-73-7910;A;Yangon;Normal;Male;Sports and travel;8631;7;302085;6343785;01/01/2019;10:37:00;Ewallet;53
699-14-3026;C;Naypyitaw;Normal;Male;Electronic accessories;8539;7;298865;6276165;01/01/2019;18:30:00;Ewallet;41
355-53-5943;A;Yangon;Member;Female;Electronic accessories;6884;6;20652;433692;01/01/2019;14:36:00;Ewallet;58
315-22-5665;C;Naypyitaw;Normal;Female;Home and lifestyle;7356;10;3678;77238;01/01/2019;11:38:00;Ewallet;8
665-32-9167;A;Yangon;Member;Female;Health and beauty;3626;2;3626;76146;01/01/2019;17:15:00;Credit card;72
692-92-5582;B;Mandalay;Member;Female;Food and beverages;5484;3;8226;172746;01/01/2019;13:27:00;Credit card;59
351-62-0822;B;Mandalay;Member;Female;Fashion accessories;1448;4;2896;60816;01/01/2019;18:07:00;Ewallet;45
529-56-3974;B;Mandalay;Member;Male;Electronic accessories;2551;4;5102;107142;01/01/2019;17:03:00;Cash;68
365-64-0515;A;Yangon;Normal;Female;Electronic accessories;4695;5;117375;2464875;01/01/2019;10:25:00;Ewallet;71
252-56-2699;A;Yangon;Normal;Male;Food and beverages;4319;10;21595;453495;01/01/2019;16:48:00;Ewallet;82
829-34-3910;A;Yangon;Normal;Female;Health and beauty;7138;10;3569;74949;01/01/2019;19:21:00;Cash;57
299-46-1805;B;Mandalay;Member;Female;Sports and travel;9372;6;28116;590436;01/01/2019;16:19:00;Cash;45
656-95-9349;A;Yangon;Member;Female;Health and beauty;6893;7;241255;5066355;01/01/2019;11:03:00;Credit card;46
765-26-6951;A;Yangon;Normal;Male;Sports and travel;7261;6;21783;457443;01/01/2019;10:39:00;Credit card;69
329-62-1586;A;Yangon;Normal;Male;Food and beverages;5467;3;82005;1722105;01/01/2019;18:00:00;Credit card;86
319-50-3348;B;Mandalay;Normal;Female;Home and lifestyle;403;2;403;8463;01/01/2019;15:30:00;Ewallet;44
300-71-4605;C;Naypyitaw;Member;Male;Electronic accessories;8604;5;2151;45171;01/01/2019;11:24:00;Ewallet;48
